year,journal,no_of_authors ,study_size
2000,Ecography,5,regional
2000,Ecography,2,local
2000,Ecography,4,regional
2000,Ecography,4,local
2000,Ecography,2,regional
2000,Ecography,6,regional
2001,Ecography,5,country
2001,Ecography,2,country
2001,Ecography,3,global
2001,Ecography,3,regional
2001,Ecography,4,global
2002,Ecography,1,regional
2002,Ecography,1,regional
2002,Ecography,2,regional
2002,Ecography,4,local
2002,Ecography,2,local
2003,Ecography,3,regional
2003,Ecography,3,regional
2003,Ecography,4,country
2003,Ecography,1,country
2003,Ecography,4,regional
2004,Ecography,2,local
2004,Ecography,3,country
2004,Ecography,3,local
2004,Ecography,2,local
2004,Ecography,4,country
2005,Ecography,1,regional
2005,Ecography,3,local
2005,Ecography,4,regional
2005,Ecography,2,regional
2005,Ecography,5,local
2006,Ecography,3,country
2006,Ecography,3,local
2006,Ecography,2,local
2006,Ecography,1,global
2006,Ecography,3,regional
2007,Ecography,3,country
2007,Ecography,1,local
2007,Ecography,3,local
2007,Ecography,3,country
2007,Ecography,6,hemisphere
2008,Ecography,4,country
2008,Ecography,3,local
2008,Ecography,6,local
2008,Ecography,3,regional
2008,Ecography,7,regional
2009,Ecography,3,country
2009,Ecography,4,regional
2009,Ecography,7,regional
2009,Ecography,5,regional
2009,Ecography,5,local
2000,Ecology,2,local
2000,Ecology,1,local
2000,Ecology,2,regional
2000,Ecology,6,local
2000,Ecology,2,local
2001,Ecology,9,global
2001,Ecology,3,local
2001,Ecology,2,global
2001,Ecology,5,local
2001,Ecology,3,regional
2002,Ecology,1,country
2002,Ecology,2,global
2002,Ecology,1,local
2002,Ecology,2,global
2002,Ecology,2,local
2003,Ecology,2,regional
2003,Ecology,2,local
2003,Ecology,3,local
2003,Ecology,2,local
2003,Ecology,2,regional
2004,Ecology,1,local
2004,Ecology,2,local
2004,Ecology,4,local
2004,Ecology,4,local
2004,Ecology,2,local
2005,Ecology,3,local
2005,Ecology,1,local
2005,Ecology,2,local
2005,Ecology,2,regional
2005,Ecology,11,local
2006,Ecology,2,regional
2006,Ecology,2,country
2006,Ecology,7,local
2006,Ecology,2,local
2006,Ecology,2,regional
2007,Ecology,1,regional
2007,Ecology,6,local
2007,Ecology,3,global
2007,Ecology,4,local
2007,Ecology,3,local
2008,Ecology,3,local
2008,Ecology,3,local
2008,Ecology,3,local
2008,Ecology,5,local
2008,Ecology,3,regional
2009,Ecology,7,global
2009,Ecology,4,global
2009,Ecology,7,global
2009,Ecology,2,local
2009,Ecology,3,local
2000,Biogeography,2,local
2000,Biogeography,1,local
2000,Biogeography,3,local
2000,Biogeography,4,local
2000,Biogeography,1,regional
2001,Biogeography,2,local
2001,Biogeography,1,local
2001,Biogeography,2,country
2001,Biogeography,1,Global
2001,Biogeography,2,country
2002,Biogeography,3,local
2002,Biogeography,4,local
2002,Biogeography,4,local
2002,Biogeography,5,country
2002,Biogeography,1,regional
2003,Biogeography,1,local
2003,Biogeography,3,continental
2003,Biogeography,2,local
2003,Biogeography,2,regional
2003,Biogeography,7,local
2004,Biogeography,1,country
2004,Biogeography,1,local
2004,Biogeography,2,country
2004,Biogeography,2,country
2004,Biogeography,8,Global
2004,Biogeography,6,country
2005,Biogeography,2,country
2005,Biogeography,3,country
2005,Biogeography,3,country
2005,Biogeography,1,country
2005,Biogeography,3,regional
2006,Biogeography,4,country
2006,Biogeography,5,local
2006,Biogeography,2,continental
2006,Biogeography,3,local
2006,Biogeography,6,local
2007,Biogeography,6,country
2007,Biogeography,3,regional
2007,Biogeography,2,local
2007,Biogeography,5,country
2007,Biogeography,2,country
2008,Biogeography,2,regional
2008,Biogeography,13,regional
2008,Biogeography,2,country
2008,Biogeography,4,regional
2008,Biogeography,4,local
2009,Biogeography,3,country
2009,Biogeography,2,regional
2009,Biogeography,5,continental
2009,Biogeography,3,continental
2009,Biogeography,12,regional
