year,journal,no_of_authors ,study_size
1980,ecography,1,local
1980,ecography,2,regional
1980,ecography,2,regional
1980,ecography,1,local
1980,ecography,2,local
1981,ecography,2,local
1981,ecography,1,regional
1981,ecography,1,local
1981,ecography,2,local
1981,ecography,1,regional
1982,ecography,3,local
1982,ecography,3,local
1982,ecography,1,local
1982,ecography,2,local
1982,ecography,2,local
1983,ecography,2,local
1983,ecography,4,local
1983,ecography,1,local
1983,ecography,1,local
1983,ecography,3,regional
1984,ecography,1,regional
1984,ecography,1,regional
1984,ecography,1,regional
1984,ecography,1,regional
1984,ecography,1,local
1985,ecography,1,local
1985,ecography,1,local
1985,ecography,1,local
1985,ecography,1,local
1985,ecography,1,local
1986,ecography,1,regional 
1986,ecography,2,regional
1986,ecography,2,regional
1986,ecography,3,local
1986,ecography,1,local
1987,ecography,2,local
1987,ecography,4,local
1987,ecography,2,regional
1987,ecography,2,local
1987,ecography,1,regional
1988,ecography,2,local
1988,ecography,1,local
1988,ecography,3,local
1988,ecography,3,local
1988,ecography,2,local
1989,ecography,2,regional
1989,ecography,2,local
1989,ecography,1,local
1989,ecography,1,local
1989,ecography,2,regional 
1980,ecology,1,Regional
1980,ecology,1,Local
1980,ecology,2,Hemisphere
1980,ecology,1,World Wide
1980,ecology,2,Regional
1981,ecology,2,Regional
1981,ecology,1,World Wide
1981,ecology,2,Country
1981,ecology,1,Local
1981,ecology,3,World Wide
1982,ecology,1,Regional
1982,ecology,1,Local
1982,ecology,1,World Wide
1982,ecology,1,World Wide
1982,ecology,1,Local
1983,ecology,2,Country
1983,ecology,1,Local
1983,ecology,2,Local
1983,ecology,2,Local
1983,ecology,2,Local
1984,ecology,3,World Wide
1984,ecology,1,Regional
1984,ecology,1,Local
1984,ecology,2,Local
1984,ecology,2,Local
1985,ecology,2,Local
1985,ecology,1,Regional
1985,ecology,1,Local
1985,ecology,1,Local
1985,ecology,1,Local
1986,ecology,2,Regional
1986,ecology,2,Regional
1986,ecology,2,Regional
1986,ecology,2,World Wide
1986,ecology,2,Regional
1987,ecology,1,Country
1987,ecology,6,Regional
1987,ecology,2,Regional
1987,ecology,1,Local
1987,ecology,2,Country
1988,ecology,1,World Wide
1988,ecology,1,World Wide
1988,ecology,1,World Wide
1988,ecology,1,World Wide
1988,ecology,2,Regional
1989,ecology,1,World Wide
1989,ecology,1,Country
1989,ecology,1,World Wide
1989,ecology,1,World Wide
1989,ecology,1,Country
1980,biogeography ,1,local
1980,biogeography ,1,regional
1980,biogeography ,2,regional 
1980,biogeography ,3,regional
1980,biogeography ,1,country
1981,biogeography ,2,local
1981,biogeography ,1,local
1981,biogeography ,2,country
1981,biogeography ,2,global
1981,biogeography ,4,country
1982,biogeography ,3,regional
1982,biogeography ,1,country
1982,biogeography ,1,local
1982,biogeography ,3,regional
1982,biogeography ,2,country
1983,biogeography ,1,local
1983,biogeography ,1,local
1983,biogeography ,2,regional
1983,biogeography ,3,regional
1983,biogeography ,2,regional
1984,biogeography ,1,regional
1984,biogeography ,2,regional
1984,biogeography ,1,country
1984,biogeography ,3,regional
1984,biogeography ,1,regional
1985,biogeography ,2,global
1985,biogeography ,2,regional
1985,biogeography ,1,regional
1985,biogeography ,3,country
1985,biogeography ,4,regional
1986,biogeography ,3,regional
1986,biogeography ,3,country
1986,biogeography ,1,regional
1986,biogeography ,2,local
1986,biogeography ,2,regional
1987,biogeography ,1,regional
1987,biogeography ,3,country
1987,biogeography ,4,country
1987,biogeography ,1,country
1987,biogeography ,1,regional
1988,biogeography ,1,country
1988,biogeography ,1,country
1988,biogeography ,1,regional
1988,biogeography ,1,regional
1988,biogeography ,1,local
1989,biogeography ,2,country
1989,biogeography ,2,regional
1989,biogeography ,1,country
1989,biogeography ,1,local
1989,biogeography ,3,regional
